indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
test020,test020.jpg,"Municipal Christmas tree, Moscow, Idaho.",I.L. Osterhout,1930,"Postcard of the municipal Christmas tree on a snowy night in Moscow, Idaho.",snow; Christmas trees; buildings; utility poles; streetlights; photographic postcards,"Moscow, Idaho",46.73155,-117.001327,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_01_08e,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test021,test021.jpg,"Administration Tower, University of Idaho. Moscow, Idaho. 40.",,1940,"Postcard of the Administration building on the University of Idaho campus in Moscow, Idaho. Donor: Charles A. Webbert","universities (institutions); universities (buildings); buildings; campuses; auditoriums, flags; chandeliers (hanging lights); photographic postcards","Moscow, Idaho",46.725922,-117.011095,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01b,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test022,test022.jpg,Night falls on University of Idaho. Wallace Residence Center.,Ross Hall Scenics,1970,"Postcard of the Gault-Upham Residence Hall (no longer standing) on the University of Idaho campus in Moscow, Idaho.",universities (institutions); universities (buildings); buildings; campuses; trees; dormitories (buildings); photographic postcards,"Moscow, Idaho",46.730342,-117.012726,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01f,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test023,test023.jpg,"Combined harvester, Moscow, Idaho.",Inland Printing Co.,1920,"Postcard of a combine harvesting grain in fields near Moscow, Idaho.",combines; fields (land); Equus caballus (species); men; picture postcards,"Moscow, Idaho",46.714253,-116.983777,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_16_01a,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test024,test024.jpg,The Plaid Palouse,Ross Hall Studio,1983,"Postcard of the patchwork rolling hills of the Palouse near Moscow, Idaho.",fields (land); mountains; trees; hills; combines; photographic postcards,"Moscow, Idaho",46.774848,-116.996512,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_16_02b,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test025,test025.jpg,"Country scene near Moscow, Idaho",,1950,"Postcard of a rural scene near Moscow, Idaho.",trees; mountains; utility poles; fields (land); photographic postcards,"Moscow, Idaho",46.805582,-117.000579,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_92_03,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test026,test026.jpg,"11,738","Psychiana, Inc.",1938,"Flyer printed with large bold '11,738' over the header, claiming this is the number of 'American Cities, Towns, Villages, and Hamlets' with Psychiana members. Also lists the names of states with corresponding numbers of cities in those states where Psychiana mails material (i.e. Oregon - 246).",,"Moscow, Idaho",46.732062,-117.000198,Psychiana Digital Collection,MG101_b4_f27_027,Text,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test027,test027.jpg,Negative photograph of several copies of the June 1948 edition of the 'The Way: A Quarterly Publication of the Psychiana Religion.',"Robinson, Frank B.",1948,"Negative photograph of the covers of The Way that include rays of light moving to a point behind a picture of mountains, a mountain lake, and clouds.",Robinson's Writings; Psychiana Journal,"Moscow, Idaho",46.732062,-117.000198,Psychiana Digital Collection,MG101_b6_f7_Miscellanious_Negatives_012,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test028,test028.jpg,Photograph of clerical and bookkeeping staff from the branch mailing department.,,1938,"Photograph of all women staff from Psychiana clerical and bookkeeping standing in front of the Branch Mailing Department at 1st and Main Street in Moscow, Idaho. This building is two stories and occupies half a block.",Psychiana Headquarters; Psychiana Staff; Bookkeeping; Mailings,"Moscow, Idaho",46.732062,-117.000198,Psychiana Digital Collection,MG101_B6_Psychiana_Photographs_011,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test029,test029.jpg,Overhead photograph of mail room,,1935-05-01,Photograph from a higher vantage depicts the mail room and several female Psychiana staff sorting letters at a central table and depositing envelopes into a lattice sorting shelf.,Psychiana Headquarters; Psychiana Staff; Mailings,"Moscow, Idaho",46.732062,-117.000198,Psychiana Digital Collection,MG101_B6_Psychiana_Photographs_032,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test030,test030.jpg,Photograph of Frank B. Robinson and a man named Henry Banks,,1939,"Photograph depicts Frank B. Robinson handing Mr. Henry Banks a can of 'rattlesnake meat' out front of the building of the publication, The News Review.",The News Review; Frank B. Robinson,"Moscow, Idaho",46.732062,-117.000198,Psychiana Digital Collection,MG101_B6_Robinson_Friends_008,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test031,test031.jpg,"$10,000 Reward",,1946,"Single-fold pamphlet regarding the possibility of eternal life on earth, which Robinson claims is possible with the help of Psychiana. Offers a $10,000 reward to anyone who can prove that 'almighty god cannot give eternal life on this earth.'",Eternal Life; Peace; Material Abundance; Happiness; Spirit of God; Talking With God; Power of God,"Moscow, Idaho",46.732062,-117.000198,Psychiana Digital Collection,MG101_b7_f4_013,Text,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
